price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
16,1,1,1,8,0,Friedrichshain-Kreuzberg,within an hour,100,yes,2,10,10,10,10,10,10,yes,yes,yes,yes,no,no
22,2,1,1,0,90,Tempelhof - Schöneberg,within a few hours,100,no,2,10,10,9,10,10,10,yes,no,no,no,no,no
45,2,1,1,10,58,Friedrichshain-Kreuzberg,within an hour,80,no,2,9,8,9,10,10,9,yes,no,yes,no,no,no
110,4,1,1,15,66,Mitte,within an hour,100,no,8,10,10,10,10,10,9,yes,yes,yes,yes,no,no
59,2,1,1,0,78,Neukölln,within a day,100,yes,1,10,10,10,10,10,9,yes,no,yes,yes,no,no
35,2,1,1,14,0,Mitte,within a few hours,100,yes,1,10,10,10,10,10,10,yes,yes,no,yes,yes,no
119,5,2,2,29,67,Reinickendorf,within an hour,99,no,30,9,8,9,9,8,8,yes,yes,no,yes,no,no
35,1,1,1,15,14,Mitte,within an hour,100,yes,1,10,10,10,10,10,10,no,no,no,yes,no,no
55,4,1,1,75,14,Mitte,within a few hours,100,no,4,10,10,10,10,10,10,yes,yes,no,yes,no,no
40,2,1,1,25,2,Friedrichshain-Kreuzberg,within an hour,100,no,1,10,10,10,10,9,9,no,no,no,no,no,no
28,3,1,1,50,0,Spandau,within an hour,100,no,19,10,9,9,10,8,8,yes,yes,no,no,no,no
44,4,1,1,18,0,Mitte,within an hour,100,no,1,10,9,10,10,10,10,yes,yes,no,no,yes,no
50,2,1,1,40,0,Pankow,within a few hours,86,no,1,10,9,10,9,10,10,yes,yes,yes,yes,no,yes
130,6,3,1,40,45,Friedrichshain-Kreuzberg,within an hour,100,no,7,10,10,10,9,10,9,yes,yes,yes,yes,yes,no
39,2,1,1,20,11,Neukölln,within an hour,100,no,4,9,9,10,10,9,9,yes,no,no,no,no,no
35,2,1,1,10,32,Charlottenburg-Wilm.,within a few hours,100,yes,2,10,10,10,10,10,10,yes,yes,yes,yes,no,no
129,4,1,1,70,85,Pankow,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
48,6,2,1,32,14,Treptow - Köpenick,within a day,80,no,2,10,9,10,10,10,9,yes,no,no,no,no,no
25,2,1,1,20,89,Reinickendorf,within an hour,100,yes,1,10,10,10,10,9,9,yes,no,yes,yes,no,no
65,4,1,1,70,62,Mitte,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,yes,no
70,5,1,1,15,0,Neukölln,within an hour,100,no,1,10,9,10,10,10,10,yes,no,no,no,no,no
60,2,1,1,40,46,Friedrichshain-Kreuzberg,within an hour,100,no,1,10,9,10,10,10,9,yes,no,yes,no,no,no
38,3,1,1.5,10,47,Pankow,within an hour,90,no,2,9,9,9,10,10,9,yes,no,yes,no,yes,no
48,2,1,1,35,49,Tempelhof - Schöneberg,within an hour,100,no,5,9,8,9,9,10,9,yes,yes,yes,no,no,no
64,5,1,1,19,85,Friedrichshain-Kreuzberg,within a few hours,99,no,16,8,8,9,9,10,8,yes,no,no,no,no,no
35,2,1,1,0,51,Mitte,within an hour,100,yes,1,10,9,10,10,10,9,no,no,no,no,no,no
23,1,1,2,35,0,Friedrichshain-Kreuzberg,within a few hours,90,no,10,10,9,10,10,10,10,yes,no,no,no,no,no
80,2,1,1,20,0,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,9,10,10,10,9,yes,no,no,no,yes,no
129,5,2,1,25,55,Friedrichshain-Kreuzberg,within an hour,100,yes,2,10,10,10,10,10,10,yes,yes,yes,no,no,no
200,8,2,1.5,80,66,Friedrichshain-Kreuzberg,within an hour,97,no,14,10,9,10,10,10,9,yes,yes,yes,yes,no,no
58,2,1,1,0,32,Pankow,within an hour,100,yes,3,10,10,10,10,10,10,yes,no,yes,no,no,no
55,3,1,1,40,66,Reinickendorf,within an hour,98,yes,12,10,10,10,10,9,9,yes,yes,no,no,no,no
55,4,1,1,35,54,Mitte,within an hour,100,no,1,9,9,10,9,9,8,yes,yes,yes,no,no,no
29,1,0,1,0,0,Charlottenburg-Wilm.,within a few hours,100,no,2,7,10,10,9,10,10,yes,yes,no,no,no,no
89,2,1,1,30,59,Mitte,within an hour,67,no,1,10,10,10,10,10,10,no,no,no,no,no,no
40,1,1,1,10,0,Friedrichshain-Kreuzberg,within a few hours,100,no,1,10,9,10,10,10,10,yes,no,yes,no,yes,no
35,2,1,1,0,0,Lichtenberg,within an hour,100,no,2,10,10,10,10,9,9,yes,no,yes,no,yes,yes
17,2,1,1,4,38,Marzahn - Hellersdorf,within a few hours,90,yes,1,10,10,10,10,9,10,yes,no,yes,no,yes,no
50,4,1,1,20,39,Tempelhof - Schöneberg,within an hour,100,yes,3,10,10,10,10,10,10,yes,yes,no,no,no,no
78,3,2,1,0,64,Charlottenburg-Wilm.,within an hour,100,yes,0,9,9,9,9,9,9,yes,yes,yes,yes,yes,no
25,4,1,2.5,15,88,Friedrichshain-Kreuzberg,within an hour,100,no,2,9,9,10,10,10,9,yes,no,yes,yes,no,no
45,2,1,1.5,15,28,Pankow,within a day,80,no,1,10,9,10,10,10,10,yes,no,yes,yes,yes,no
29,2,1,1,20,1,Lichtenberg,within an hour,100,no,1,9,8,10,10,9,9,yes,no,yes,no,no,no
97,6,3,1,49,9,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,9,yes,no,yes,yes,yes,yes
32,1,0,1,0,22,Charlottenburg-Wilm.,within a few hours,100,no,1,10,10,10,10,10,10,yes,no,no,no,no,no
60,4,2,1,15,5,Lichtenberg,within an hour,100,yes,2,10,10,10,10,10,10,yes,no,yes,yes,yes,yes
130,6,3,1,40,14,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,9,10,10,10,10,yes,yes,no,yes,yes,no
70,4,1,1,50,39,Neukölln,within an hour,100,no,1,10,9,10,10,9,9,yes,no,no,no,no,no
25,1,1,1,20,63,Charlottenburg-Wilm.,within an hour,100,no,3,10,10,10,10,9,9,yes,no,yes,no,no,no
130,5,2,2,75,70,Charlottenburg-Wilm.,within an hour,100,yes,3,10,9,10,10,10,9,yes,no,yes,no,yes,no
100,6,2,1,50,76,Friedrichshain-Kreuzberg,within a few hours,90,yes,2,10,9,9,10,10,9,yes,yes,yes,no,no,no
80,2,2,1,0,9,Tempelhof - Schöneberg,within a few hours,100,no,1,10,9,10,10,10,10,yes,no,no,no,yes,no
40,2,0,1,15,0,Tempelhof - Schöneberg,within a day,100,no,1,10,10,10,10,10,10,yes,no,no,no,no,no
43,3,1,1,10,0,Neukölln,within an hour,100,no,2,10,9,10,10,9,9,yes,no,no,no,no,no
125,1,3,1,50,87,Neukölln,within a day,100,no,1,10,9,10,10,10,9,yes,yes,no,no,yes,no
155,8,1,1,45,56,Friedrichshain-Kreuzberg,within an hour,100,yes,18,10,10,10,10,9,9,yes,no,yes,no,no,no
150,12,4,2,65,0,Mitte,within an hour,100,no,2,10,9,9,10,9,9,yes,yes,no,no,no,no
40,2,1,1,25,88,Tempelhof - Schöneberg,within an hour,100,yes,1,10,10,10,10,10,10,no,no,yes,no,no,no
30,1,1,1.5,20,70,Mitte,within an hour,90,no,3,10,10,10,10,10,10,yes,yes,yes,yes,no,no
45,3,1,1,10,44,Treptow - Köpenick,within an hour,100,yes,1,10,10,10,10,9,9,yes,no,yes,no,no,no
65,2,1,1,20,72,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,9,yes,no,yes,yes,no,no
85,2,1,1,25,85,Neukölln,within a day,75,no,1,10,10,10,10,10,9,yes,no,no,no,no,no
35,2,1,1.5,0,14,Neukölln,within a day,70,no,3,10,9,10,10,10,9,yes,no,no,no,no,no
149,4,1,1,50,44,Tempelhof - Schöneberg,within an hour,100,no,9,9,9,9,9,10,9,yes,yes,yes,no,no,no
28,2,1,1,25,47,Friedrichshain-Kreuzberg,within a few hours,100,yes,1,9,10,10,10,10,9,yes,no,no,no,no,no
35,2,1,1,20,0,Friedrichshain-Kreuzberg,within an hour,100,no,1,10,8,10,10,10,10,yes,no,no,no,no,no
40,2,1,1,5,28,Friedrichshain-Kreuzberg,within a day,90,yes,1,10,10,10,10,10,10,yes,no,no,no,no,no
89,2,1,1,0,1,Mitte,within an hour,100,yes,2,10,10,10,10,10,10,yes,no,no,no,no,no
155,6,1,1,45,61,Friedrichshain-Kreuzberg,within an hour,100,yes,18,10,10,10,10,9,9,yes,no,yes,no,no,no
60,4,2,1,38,7,Mitte,within a few hours,100,yes,2,10,10,10,10,10,10,yes,no,yes,no,yes,no
95,3,1,1,45,60,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,9,10,yes,yes,no,no,no,no
250,4,2,2,100,53,Friedrichshain-Kreuzberg,within an hour,100,yes,2,10,10,10,10,10,10,yes,yes,yes,yes,yes,yes
50,2,1,1,80,85,Neukölln,within a day,70,no,1,10,10,10,10,9,10,yes,no,no,no,yes,no
99,5,3,1,60,90,Pankow,within a few hours,100,no,4,10,10,10,10,9,9,yes,yes,yes,yes,yes,yes
48,2,0,1,30,54,Mitte,within an hour,100,no,2,10,10,10,10,10,9,yes,yes,yes,no,no,no
22,2,1,1,10,8,Pankow,within a few hours,100,no,1,10,10,10,10,9,10,yes,no,no,yes,no,no
65,2,1,1,30,78,Friedrichshain-Kreuzberg,within a few hours,100,yes,3,10,10,10,10,10,10,yes,no,yes,yes,no,no
58,2,1,1,20,88,Friedrichshain-Kreuzberg,within a day,100,no,1,10,10,10,10,10,10,yes,no,no,no,no,no
200,2,1,1.5,25,1,Mitte,within an hour,88,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,yes,no
60,2,0,1,50,0,Pankow,within an hour,100,no,1,9,9,10,10,10,9,yes,yes,yes,no,yes,no
120,3,1,2,80,32,Mitte,within an hour,100,no,1,10,10,10,10,10,9,yes,no,no,yes,yes,yes
38,2,1,1,10,9,Pankow,within an hour,100,yes,2,10,9,10,10,10,10,yes,no,no,no,no,no
40,3,1,1,35,38,Reinickendorf,within an hour,98,yes,12,10,10,10,10,9,10,yes,yes,no,no,no,no
